run,metric,iteration,value
terminal_ppo,reward,197,-1465.14599609375
terminal_ppo,reward,198,-1465.14599609375
terminal_ppo,reward,199,-1465.14599609375
terminal_ppo,reward,58,-1526.2113037109375
terminal_ppo,reward,59,-1510.4088134765625
terminal_ppo,reward,59,-1491.1708984375
terminal_ppo,reward,59,-1491.1708984375
terminal_ppo,reward,60,-1491.1708984375
terminal_ppo,reward,60,-1473.0440673828125
terminal_ppo,reward,60,-1503.457275390625
terminal_ppo,reward,61,-1449.8197021484375
terminal_ppo,reward,61,-1465.14599609375
terminal_ppo,reward,62,-1465.14599609375
terminal_ppo,reward,62,-1465.14599609375
terminal_ppo,reward,62,-1465.14599609375
terminal_ppo,reward,63,-1465.14599609375
terminal_ppo,reward,63,-1465.14599609375
terminal_ppo,reward,63,-1465.14599609375
terminal_ppo,reward,64,-1465.14599609375
terminal_ppo,reward,64,-1465.14599609375
terminal_ppo,reward,64,-1465.14599609375
terminal_ppo,reward,65,-1465.14599609375
terminal_ppo,reward,65,-1465.14599609375
terminal_ppo,reward,65,-1465.14599609375
terminal_ppo,reward,66,-1465.14599609375
terminal_ppo,reward,66,-1465.14599609375
terminal_ppo,reward,66,-1465.14599609375
terminal_ppo,reward,67,-1465.14599609375
terminal_ppo,reward,67,-1465.14599609375
terminal_ppo,reward,67,-1465.14599609375
terminal_ppo,reward,68,-1465.14599609375
terminal_ppo,reward,68,-1465.14599609375
terminal_ppo,reward,68,-1465.14599609375
terminal_ppo,reward,69,-1465.14599609375
terminal_ppo,terminal_reward,199,-30.573598861694336
terminal_ppo,terminal_reward,200,-30.573598861694336
terminal_ppo,terminal_reward,201,-30.573598861694336
terminal_ppo,terminal_reward,202,-30.573598861694336
terminal_ppo,terminal_reward,203,-30.573598861694336
terminal_ppo,terminal_reward,204,-30.573598861694336
terminal_ppo,terminal_reward,205,-30.573598861694336
terminal_ppo,terminal_reward,206,-30.573598861694336
terminal_ppo,terminal_reward,207,-30.573598861694336
terminal_ppo,terminal_reward,208,-30.573598861694336
terminal_ppo,terminal_reward,209,-30.573598861694336
terminal_ppo,terminal_reward,210,-30.573598861694336
terminal_ppo,terminal_reward,211,-30.573598861694336
terminal_ppo,terminal_reward,212,-30.573598861694336
terminal_ppo,terminal_reward,213,-30.573598861694336
terminal_ppo,terminal_reward,214,-30.573598861694336
terminal_ppo,terminal_reward,215,-30.573598861694336
terminal_ppo,terminal_reward,216,-30.573598861694336
terminal_ppo,terminal_reward,217,-30.573598861694336
terminal_ppo,terminal_reward,218,-30.573598861694336
terminal_ppo,terminal_reward,219,-30.573598861694336
terminal_ppo,terminal_reward,220,-30.573598861694336
terminal_ppo,terminal_reward,221,-30.573598861694336
terminal_ppo,terminal_reward,222,-30.573598861694336
terminal_ppo,terminal_reward,223,-30.573598861694336
terminal_ppo,terminal_reward,224,-30.573598861694336
terminal_ppo,terminal_reward,225,-30.573598861694336
terminal_ppo,terminal_reward,226,-30.573598861694336
terminal_ppo,terminal_reward,227,-30.573598861694336
terminal_ppo,terminal_reward,228,-30.573598861694336
terminal_ppo,terminal_reward,229,-30.573598861694336
terminal_ppo,terminal_reward,230,-30.573598861694336
terminal_ppo,terminal_reward,231,-30.573598861694336
terminal_ppo,terminal_reward,232,-30.573598861694336
terminal_ppo,terminal_reward,233,-30.573598861694336
terminal_ppo,terminal_reward,234,-30.573598861694336
terminal_ppo,terminal_reward,235,-30.573598861694336
terminal_ppo,terminal_reward,236,-30.573598861694336
terminal_ppo,terminal_reward,237,-30.573598861694336
terminal_ppo,terminal_reward,238,-30.573598861694336
terminal_ppo,terminal_reward,239,-30.573598861694336
terminal_ppo,terminal_reward,240,-30.573598861694336
terminal_ppo,terminal_reward,241,-30.573598861694336
terminal_ppo,terminal_reward,242,-30.573598861694336
terminal_ppo,terminal_reward,243,-30.573598861694336
terminal_ppo,terminal_reward,244,-30.573598861694336
terminal_ppo,terminal_reward,245,-30.573598861694336
terminal_ppo,terminal_reward,246,-30.573598861694336
terminal_ppo,terminal_reward,247,-30.573598861694336
terminal_ppo,terminal_reward,248,-30.573598861694336
terminal_ppo,terminal_reward,249,-30.573598861694336
terminal_ppo,terminal_reward,250,-30.573598861694336
terminal_ppo,terminal_reward,251,-30.573598861694336
terminal_ppo,terminal_reward,252,-30.573598861694336
terminal_ppo,terminal_reward,253,-30.573598861694336
terminal_ppo,terminal_reward,254,-30.573598861694336
terminal_ppo,terminal_reward,255,-30.573598861694336
terminal_ppo,terminal_reward,256,-30.573598861694336
