step,contact,physical_contact,moving,spin,geometry_contact_possible,sensor_raw_force,virtual_force,raw_force,filtered_force,pad_compression,z_offset,normal_tilt,path,pause,stable_steps,actual_clearance
225,0,0,0,1,0,0.0,0.036000000000000004,0.036000000000000004,0.03599949733610329,0.0,0.07849999999999996,17.48818502239992,0.0,0,0,0.09488607122125015
240,0,0,0,1,0,0.0,0.036000000000000004,0.036000000000000004,0.03599999999684162,0.0,0.07699999999999992,17.48818502239992,0.0,0,0,0.037605629247180125
255,0,0,0,1,0,0.0,0.036000000000000004,0.036000000000000004,0.03599999999999999,0.0,0.07549999999999987,17.48818502239992,0.0,0,0,0.017226809425456676
270,0,0,0,1,0,0.0,0.036000000000000004,0.036000000000000004,0.036000000000000004,0.0,0.07399999999999983,17.48818502239992,0.0,0,0,0.01892508310419736
285,0,0,0,1,0,0.0,0.036000000000000004,0.036000000000000004,0.036000000000000004,0.0,0.07249999999999979,17.48818502239992,0.0,0,0,0.022779374535129824
300,0,0,0,1,0,0.0,0.036000000000000004,0.036000000000000004,0.036000000000000004,0.0,0.07099999999999974,17.48818502239992,0.0,0,0,0.02452156406554507
315,0,0,0,1,0,0.0,0.036000000000000004,0.036000000000000004,0.036000000000000004,0.0,0.0694999999999997,17.48818502239992,0.0,0,0,0.025605227701633405
330,0,0,0,1,0,0.0,0.036000000000000004,0.036000000000000004,0.036000000000000004,0.0,0.06799999999999966,17.48818502239992,0.0,0,0,0.026058778986372433
345,0,0,0,1,0,0.0,0.036000000000000004,0.036000000000000004,0.036000000000000004,0.0,0.06649999999999961,17.48818502239992,0.0,0,0,0.025749229031724594
360,0,0,0,1,0,0.0,0.036000000000000004,0.036000000000000004,0.036000000000000004,0.0,0.06499999999999957,17.48818502239992,0.0,0,0,0.0248290857095884
375,0,0,0,1,0,0.0,0.036000000000000004,0.036000000000000004,0.036000000000000004,0.0,0.06349999999999953,17.48818502239992,0.0,0,0,0.02357291008350183
390,0,0,0,1,0,0.0,0.036000000000000004,0.036000000000000004,0.036000000000000004,0.0,0.061999999999999486,17.48818502239992,0.0,0,0,0.022171332959849376
