region_id,region_name,cell_id,position_x_m,position_y_m,position_z_m,normal_x,normal_y,normal_z,force_n,rpm,feed_speed_mm_s,step_over_ratio,pass_count,policy_action_force,policy_action_feed,roughness_before,roughness_after,scratch_before_um,scratch_after_um,ra_before_um,ra_after_um,rz_before_um,rz_after_um,clearcoat_initial_um,clearcoat_removed_um,clearcoat_remaining_um,clearcoat_remaining_min_um,gu_proxy_before,gu_proxy_after,gu_target_pass,ra_target_pass,rz_target_pass,scratch_improved,clearcoat_safe,overall_pass,failure_reason,tilt_deg,is_side,evaluation_mode,surface_seed,process_time_s,episode_completed
R1,bonnet,14,2.100,0.480,1.000,-0.1000,0.0000,0.9950,7.403,5436,3.137,0.1840,2,+0.953,-0.945,0.2555,0.3161,1.3351,0.2919,0.1548,0.2567,1.7804,1.6529,42.28,3.1577,39.12,35.84,58.26,63.90,False,False,True,True,True,False,gu_below_target(63.9<70);ra_above_target(0.257>0.20),5.7,False,flat_trained_bc_policy_inference,7115,458.9,True
R1,bonnet,15,2.300,-0.480,1.020,-0.1000,0.0000,0.9950,7.333,5436,3.248,0.1840,2,+0.921,-0.908,0.1981,0.2074,1.0995,0.2483,0.1315,0.1641,1.4792,1.0281,41.89,3.0392,38.85,35.21,66.81,64.44,False,True,True,True,True,False,gu_below_target(64.4<70),5.7,False,flat_trained_bc_policy_inference,7116,443.3,True
R1,bonnet,16,2.300,-0.240,1.020,-0.1000,0.0000,0.9950,7.416,5436,3.090,0.1840,2,+0.968,-0.961,0.2562,0.2888,1.1744,0.1872,0.1791,0.2267,1.5984,1.4702,46.22,3.2154,43.00,38.71,51.21,68.42,False,False,True,True,True,False,gu_below_target(68.4<70);ra_above_target(0.227>0.20),5.7,False,flat_trained_bc_policy_inference,7117,466.0,True
R1,bonnet,17,2.300,0.000,1.020,-0.1000,0.0000,0.9950,7.397,5436,3.124,0.1840,2,+0.957,-0.949,0.2574,0.2786,1.1759,0.2180,0.1784,0.2258,1.6855,1.4795,44.70,3.1730,41.53,38.15,50.15,66.80,False,False,True,True,True,False,gu_below_target(66.8<70);ra_above_target(0.226>0.20),5.7,False,flat_trained_bc_policy_inference,7118,460.9,True
R1,bonnet,18,2.300,0.240,1.020,-0.1000,0.0000,0.9950,7.283,5436,3.345,0.1840,2,+0.891,-0.875,0.1656,0.2114,1.2678,0.1485,0.1111,0.1654,1.3765,1.0057,44.16,2.9231,41.24,39.36,51.37,69.21,False,True,True,True,True,False,gu_below_target(69.2<70),5.7,False,flat_trained_bc_policy_inference,7119,430.5,True
R1,bonnet,19,2.300,0.480,1.020,-0.1000,0.0000,0.9950,7.398,5436,3.122,0.1840,2,+0.956,-0.950,0.2569,0.2965,1.4908,0.3727,0.1556,0.2404,1.7712,1.5035,45.19,3.1678,42.02,40.26,61.28,68.55,False,False,True,True,True,False,gu_below_target(68.6<70);ra_above_target(0.240>0.20),5.7,False,flat_trained_bc_policy_inference,7120,461.1,True
R1,bonnet,20,2.500,-0.480,1.040,-0.1000,0.0000,0.9950,7.378,5436,3.164,0.1840,2,+0.944,-0.936,0.2301,0.2429,1.0518,0.0927,0.1590,0.1851,1.4444,1.2062,40.93,3.1195,37.81,34.13,46.69,55.05,False,True,True,True,False,False,gu_below_target(55.0<70);clearcoat_below_safe(34.1<35),5.7,False,flat_trained_bc_policy_inference,7121,455.1,True
R1,bonnet,21,2.500,-0.240,1.040,-0.1000,0.0000,0.9950,7.460,5436,3.002,0.1840,2,+0.993,-0.990,0.3060,0.2800,1.8412,0.6112,0.1782,0.2281,2.2017,1.6777,40.59,3.3288,37.26,34.74,53.14,52.09,False,False,True,True,False,False,gu_below_target(52.1<70);ra_above_target(0.228>0.20);clearcoat_below_safe(34.7<35),5.7,False,flat_trained_bc_policy_inference,7122,479.6,True
R1,bonnet,22,2.500,0.000,1.040,-0.1000,0.0000,0.9950,7.402,5436,3.120,0.1840,2,+0.958,-0.950,0.2001,0.2697,1.3841,0.3003,0.1115,0.2205,1.7659,1.5652,43.14,3.1748,39.97,36.95,53.85,65.97,False,False,True,True,True,False,gu_below_target(66.0<70);ra_above_target(0.220>0.20),5.7,False,flat_trained_bc_policy_inference,7123,461.4,True
R1,bonnet,23,2.500,0.240,1.040,-0.1000,0.0000,0.9950,7.372,5436,3.174,0.1840,2,+0.943,-0.932,0.2347,0.2890,0.9398,0.1735,0.1660,0.2352,1.5099,1.4639,47.74,3.1081,44.63,41.83,49.79,69.34,False,False,True,True,True,False,gu_below_target(69.3<70);ra_above_target(0.235>0.20),5.7,False,flat_trained_bc_policy_inference,7124,453.6,True
