region_id,region_name,cell_id,position_x_m,position_y_m,position_z_m,normal_x,normal_y,normal_z,force_n,rpm,feed_speed_mm_s,step_over_ratio,pass_count,policy_action_force,policy_action_feed,roughness_before,roughness_after,scratch_before_um,scratch_after_um,ra_before_um,ra_after_um,rz_before_um,rz_after_um,clearcoat_initial_um,clearcoat_removed_um,clearcoat_remaining_um,clearcoat_remaining_min_um,gu_proxy_before,gu_proxy_after,gu_target_pass,ra_target_pass,rz_target_pass,warranty_removal_ok,scratch_improved,clearcoat_safe,overall_pass,failure_reason,disposition,tilt_deg,is_side,evaluation_mode,surface_seed,process_time_s,episode_completed,repolish_episodes
R1,bonnet,15,2.300,-0.480,1.020,-0.1000,0.0000,0.9950,8.417,3259,4.531,0.2700,2,+0.972,-0.396,0.1735,0.1294,0.4575,0.1263,0.1382,0.0986,1.0545,0.8019,43.14,1.0315,42.11,38.93,67.70,72.54,True,True,True,True,True,True,True,,pass,5.7,False,flat_trained_bc_ppo_terminal_policy_inference,7116,212.0,True,0
R1,bonnet,16,2.300,-0.240,1.020,-0.1000,0.0000,0.9950,8.422,3259,4.411,0.2700,2,+0.980,-0.439,0.1543,0.1264,0.2508,0.1083,0.1215,0.0993,0.8878,0.6720,49.58,1.0607,48.52,44.28,68.17,73.68,True,True,True,True,True,True,True,,pass,5.7,False,flat_trained_bc_ppo_terminal_policy_inference,7117,217.7,True,0
R1,bonnet,17,2.300,0.000,1.020,-0.1000,0.0000,0.9950,8.357,3259,4.167,0.2700,2,+0.938,-0.525,0.1725,0.1284,0.4834,0.2082,0.1360,0.0990,1.0331,0.7652,40.24,1.1151,39.12,35.30,56.54,65.92,False,True,True,True,True,True,False,gu_below_target(65.9<70);clearcoat_budget_exhausted,spot_repaint_review,5.7,False,flat_trained_bc_ppo_terminal_policy_inference,7118,230.4,True,0
R1,bonnet,18,2.300,0.240,1.020,-0.1000,0.0000,0.9950,8.421,3259,4.404,0.2700,2,+0.973,-0.441,0.1900,0.1287,0.8204,0.3228,0.1490,0.1026,1.2320,0.8039,44.87,1.0624,43.81,41.89,64.46,72.18,True,True,True,True,True,True,True,,pass,5.7,False,flat_trained_bc_ppo_terminal_policy_inference,7119,218.0,True,0
R1,bonnet,19,2.300,0.480,1.020,-0.1000,0.0000,0.9950,8.421,3259,4.427,0.2700,2,+0.973,-0.433,0.1598,0.1370,0.5282,0.2272,0.1215,0.1103,1.0260,0.7868,46.01,1.0564,44.95,42.52,62.48,73.05,True,True,True,True,True,True,True,,pass,5.7,False,flat_trained_bc_ppo_terminal_policy_inference,7120,216.9,True,0
R1,bonnet,20,2.500,-0.480,1.040,-0.1000,0.0000,0.9950,8.413,3259,4.665,0.2700,2,+0.970,-0.349,0.1353,0.1022,0.2949,0.0770,0.1073,0.0828,0.7934,0.4864,41.88,0.9996,40.88,37.74,73.21,72.68,True,True,True,True,True,True,True,,pass,5.7,False,flat_trained_bc_ppo_terminal_policy_inference,7121,205.8,True,0
R1,bonnet,21,2.500,-0.240,1.040,-0.1000,0.0000,0.9950,8.420,3259,4.469,0.2700,2,+0.973,-0.418,0.1602,0.1103,0.2982,0.0720,0.1280,0.0889,0.9114,0.5954,45.46,1.0461,44.41,41.98,66.25,73.55,True,True,True,True,True,True,True,,pass,5.7,False,flat_trained_bc_ppo_terminal_policy_inference,7122,214.9,True,0
R1,bonnet,22,2.500,0.000,1.040,-0.1000,0.0000,0.9950,8.421,3259,4.447,0.2700,2,+0.975,-0.426,0.1509,0.1185,0.2557,0.0598,0.1210,0.0925,0.8325,0.6942,48.14,1.0514,47.09,44.28,69.13,74.22,True,True,True,True,True,True,True,,pass,5.7,False,flat_trained_bc_ppo_terminal_policy_inference,7123,215.9,True,0
R1,bonnet,23,2.500,0.240,1.040,-0.1000,0.0000,0.9950,8.415,3259,4.542,0.2700,2,+0.970,-0.392,0.1477,0.1524,0.4428,0.1530,0.1141,0.1248,0.9107,0.7757,40.68,1.0268,39.65,37.31,61.22,70.42,True,True,True,True,True,True,True,,pass,5.7,False,flat_trained_bc_ppo_terminal_policy_inference,7124,211.4,True,0
R1,bonnet,24,2.500,0.480,1.040,-0.1000,0.0000,0.9950,8.419,3259,4.510,0.2700,2,+0.972,-0.404,0.1431,0.1116,0.3808,0.0890,0.1132,0.0874,0.8145,0.6151,43.21,1.0364,42.17,39.31,60.98,72.64,True,True,True,True,True,True,True,,pass,5.7,False,flat_trained_bc_ppo_terminal_policy_inference,7125,212.9,True,0
R2,roof,0,-0.080,-0.440,1.450,0.0000,0.0000,1.0000,8.418,3259,4.453,0.2700,2,+0.971,-0.424,0.1682,0.1390,0.7100,0.4106,0.1300,0.1115,1.1757,0.7776,42.80,1.0496,41.75,40.43,70.99,72.76,True,True,True,True,True,True,True,,pass,0.0,False,flat_trained_bc_ppo_terminal_policy_inference,7202,215.6,True,0
R2,roof,1,-0.080,-0.220,1.450,0.0000,0.0000,1.0000,8.417,3259,4.345,0.2700,2,+0.970,-0.462,0.1594,0.1154,0.4523,0.1087,0.1275,0.0916,0.9122,0.6767,42.32,1.0757,41.24,38.10,65.32,72.22,True,True,True,True,True,True,True,,pass,0.0,False,flat_trained_bc_ppo_terminal_policy_inference,7203,221.0,True,0
R2,roof,2,-0.080,0.000,1.450,0.0000,0.0000,1.0000,8.419,3259,4.287,0.2700,2,+0.971,-0.482,0.1864,0.1445,0.7369,0.2543,0.1426,0.1079,1.2812,0.9550,43.19,1.0903,42.10,38.37,62.12,71.53,True,True,True,True,True,True,True,,pass,0.0,False,flat_trained_bc_ppo_terminal_policy_inference,7204,224.0,True,0
R2,roof,3,-0.080,0.220,1.450,0.0000,0.0000,1.0000,8.421,3259,4.417,0.2700,2,+0.974,-0.437,0.1624,0.1425,0.5136,0.1768,0.1236,0.1125,1.1304,0.8355,48.20,1.0590,47.14,43.37,66.30,73.33,True,True,True,True,True,True,True,,pass,0.0,False,flat_trained_bc_ppo_terminal_policy_inference,7205,217.4,True,0
R2,roof,4,-0.080,0.440,1.450,0.0000,0.0000,1.0000,8.421,3259,4.440,0.2700,2,+0.978,-0.428,0.1577,0.1112,0.3498,0.0751,0.1264,0.0889,0.9208,0.6503,47.45,1.0534,46.40,43.28,61.06,72.45,True,True,True,True,True,True,True,,pass,0.0,False,flat_trained_bc_ppo_terminal_policy_inference,7206,216.3,True,0
R2,roof,5,0.160,-0.440,1.450,0.0000,0.0000,1.0000,8.421,3259,4.434,0.2700,2,+0.977,-0.431,0.1310,0.1173,0.3800,0.1341,0.1016,0.0910,0.8094,0.6712,47.17,1.0548,46.12,45.73,68.31,74.34,True,True,True,True,True,True,True,,pass,0.0,False,flat_trained_bc_ppo_terminal_policy_inference,7207,216.6,True,0
R2,roof,6,0.160,-0.220,1.450,0.0000,0.0000,1.0000,8.419,3259,4.512,0.2700,2,+0.973,-0.403,0.1923,0.1485,0.5150,0.2789,0.1509,0.1182,1.1524,0.8761,44.09,1.0355,43.05,39.08,65.09,72.21,True,True,True,True,True,True,True,,pass,0.0,False,flat_trained_bc_ppo_terminal_policy_inference,7208,212.8,True,0
R2,roof,7,0.160,0.000,1.450,0.0000,0.0000,1.0000,8.413,3259,4.615,0.2700,2,+0.970,-0.366,0.1115,0.1013,0.2046,0.0608,0.0891,0.0796,0.6199,0.5253,42.17,1.0111,41.16,38.34,65.50,71.53,True,True,True,True,True,True,True,,pass,0.0,False,flat_trained_bc_ppo_terminal_policy_inference,7209,208.1,True,0
R2,roof,8,0.160,0.220,1.450,0.0000,0.0000,1.0000,8.421,3259,4.435,0.2700,2,+0.979,-0.430,0.1359,0.1213,0.1863,0.0258,0.1092,0.0952,0.7511,0.6579,49.14,1.0546,48.09,45.66,71.88,74.76,True,True,True,True,True,True,True,,pass,0.0,False,flat_trained_bc_ppo_terminal_policy_inference,7210,216.5,True,0
R2,roof,9,0.160,0.440,1.450,0.0000,0.0000,1.0000,8.421,3259,4.445,0.2700,2,+0.975,-0.427,0.1522,0.1221,0.2945,0.0713,0.1194,0.0953,0.8503,0.6796,46.68,1.0520,45.63,43.40,70.66,74.31,True,True,True,True,True,True,True,,pass,0.0,False,flat_trained_bc_ppo_terminal_policy_inference,7211,216.0,True,0
R2,roof,10,0.400,-0.440,1.450,0.0000,0.0000,1.0000,8.421,3259,4.453,0.2700,2,+0.975,-0.424,0.1375,0.1168,0.2297,0.0596,0.1106,0.0931,0.7479,0.6318,47.58,1.0500,46.53,44.00,72.79,74.43,True,True,True,True,True,True,True,,pass,0.0,False,flat_trained_bc_ppo_terminal_policy_inference,7212,215.6,True,0
R2,roof,11,0.400,-0.220,1.450,0.0000,0.0000,1.0000,8.426,3259,4.253,0.2700,2,+0.979,-0.494,0.1550,0.1175,0.8441,0.3351,0.1121,0.0923,1.1485,0.7095,47.81,1.1014,46.71,42.73,67.03,72.96,True,True,True,True,True,True,True,,pass,0.0,False,flat_trained_bc_ppo_terminal_policy_inference,7213,225.8,True,0
R2,roof,12,0.400,0.000,1.450,0.0000,0.0000,1.0000,8.420,3259,4.428,0.2700,2,+0.972,-0.433,0.1703,0.1379,0.2726,0.0743,0.1330,0.1027,1.0897,0.9003,41.20,1.0572,40.14,36.24,66.68,71.13,True,True,True,True,True,True,True,,pass,0.0,False,flat_trained_bc_ppo_terminal_policy_inference,7214,216.9,True,0
R2,roof,13,0.400,0.220,1.450,0.0000,0.0000,1.0000,8.420,3259,4.475,0.2700,2,+0.973,-0.416,0.1651,0.1243,0.1951,0.0444,0.1292,0.0988,0.9136,0.6823,45.68,1.0446,44.64,41.84,62.55,71.09,True,True,True,True,True,True,True,,pass,0.0,False,flat_trained_bc_ppo_terminal_policy_inference,7215,214.6,True,0
