region_id,region_name,cell_id,position_x_m,position_y_m,position_z_m,normal_x,normal_y,normal_z,force_n,rpm,feed_speed_mm_s,step_over_ratio,pass_count,policy_action_force,policy_action_feed,roughness_before,roughness_after,scratch_before_um,scratch_after_um,ra_before_um,ra_after_um,rz_before_um,rz_after_um,clearcoat_initial_um,clearcoat_removed_um,clearcoat_remaining_um,clearcoat_remaining_min_um,gu_proxy_before,gu_proxy_after,gu_target_pass,ra_target_pass,rz_target_pass,warranty_removal_ok,scratch_improved,clearcoat_safe,overall_pass,failure_reason,disposition,tilt_deg,is_side,evaluation_mode,surface_seed,process_time_s,episode_completed,repolish_episodes
R1,bonnet,14,2.100,0.480,1.000,-0.1000,0.0000,0.9950,8.403,3259,5.122,0.2700,6,+0.968,-0.187,0.2555,0.2808,1.3351,0.2764,0.1548,0.2242,1.7804,1.5640,42.28,2.7294,39.55,36.90,58.26,66.41,False,False,True,True,True,True,False,gu_below_target(66.4<70);ra_above_target(0.224>0.20),rework_candidate,5.7,False,flat_trained_bc_ppo_terminal_policy_inference,7115,562.4,True,2
R1,bonnet,15,2.300,-0.480,1.020,-0.1000,0.0000,0.9950,8.420,3259,4.320,0.2700,2,+0.972,-0.471,0.1981,0.1503,1.0995,0.6605,0.1315,0.1125,1.4792,1.0916,41.89,1.0829,40.81,37.67,66.81,70.56,True,True,True,True,True,True,True,,pass,5.7,False,flat_trained_bc_ppo_terminal_policy_inference,7116,222.3,True,0
R1,bonnet,16,2.300,-0.240,1.020,-0.1000,0.0000,0.9950,8.422,3259,4.425,0.2700,4,+0.976,-0.434,0.2562,0.2211,1.1744,0.3106,0.1791,0.1695,1.5984,1.2859,46.22,2.1145,44.11,40.17,51.21,70.58,True,True,True,True,True,True,True,,pass,5.7,False,flat_trained_bc_ppo_terminal_policy_inference,7117,433.9,True,1
R1,bonnet,17,2.300,0.000,1.020,-0.1000,0.0000,0.9950,8.410,3259,4.770,0.2700,6,+0.969,-0.311,0.2574,0.2062,1.1759,0.1290,0.1784,0.1586,1.6855,1.2247,44.70,2.9419,41.76,37.82,50.15,68.01,False,True,True,True,True,True,False,gu_below_target(68.0<70),rework_candidate,5.7,False,flat_trained_bc_ppo_terminal_policy_inference,7118,603.8,True,2
R1,bonnet,18,2.300,0.240,1.020,-0.1000,0.0000,0.9950,8.422,3259,4.332,0.2700,2,+0.973,-0.466,0.1656,0.1341,1.2678,0.7208,0.1111,0.1048,1.3765,1.0436,44.16,1.0799,43.08,41.22,51.37,70.86,True,True,True,True,True,True,True,,pass,5.7,False,flat_trained_bc_ppo_terminal_policy_inference,7119,221.6,True,0
R1,bonnet,19,2.300,0.480,1.020,-0.1000,0.0000,0.9950,8.422,3259,4.318,0.2700,4,+0.973,-0.471,0.2569,0.2231,1.4908,0.5107,0.1556,0.1780,1.7712,1.3287,45.19,2.1686,43.02,40.75,61.28,70.12,True,True,True,True,True,True,True,,pass,5.7,False,flat_trained_bc_ppo_terminal_policy_inference,7120,444.7,True,1
R1,bonnet,20,2.500,-0.480,1.040,-0.1000,0.0000,0.9950,8.436,3259,3.648,0.2700,2,+0.976,-0.709,0.2301,0.1903,1.0518,0.4762,0.1590,0.1469,1.4444,1.1948,40.93,1.2851,39.64,36.24,46.69,66.65,False,True,True,True,True,True,False,gu_below_target(66.7<70);clearcoat_budget_exhausted,spot_repaint_review,5.7,False,flat_trained_bc_ppo_terminal_policy_inference,7121,263.3,True,0
R1,bonnet,21,2.500,-0.240,1.040,-0.1000,0.0000,0.9950,8.436,3259,3.470,0.2700,2,+0.975,-0.772,0.3060,0.2678,1.8412,1.2268,0.1782,0.1989,2.2017,1.9450,40.59,1.3499,39.24,36.65,53.14,63.88,False,True,True,True,True,True,False,gu_below_target(63.9<70);clearcoat_budget_exhausted,spot_repaint_review,5.7,False,flat_trained_bc_ppo_terminal_policy_inference,7122,276.7,True,0
R1,bonnet,22,2.500,0.000,1.040,-0.1000,0.0000,0.9950,8.419,3259,4.420,0.2700,4,+0.972,-0.436,0.2001,0.2337,1.3841,0.5493,0.1115,0.1860,1.7659,1.6070,43.14,2.1130,41.03,38.37,53.85,69.06,False,True,True,True,True,True,False,gu_below_target(69.1<70),rework_candidate,5.7,False,flat_trained_bc_ppo_terminal_policy_inference,7123,434.5,True,1
R1,bonnet,23,2.500,0.240,1.040,-0.1000,0.0000,0.9950,8.423,3259,4.370,0.2700,4,+0.979,-0.453,0.2347,0.2112,0.9398,0.2295,0.1660,0.1674,1.5099,1.1700,47.74,2.1429,45.60,43.03,49.79,70.97,True,True,True,True,True,True,True,,pass,5.7,False,flat_trained_bc_ppo_terminal_policy_inference,7124,439.4,True,1
R1,bonnet,24,2.500,0.480,1.040,-0.1000,0.0000,0.9950,8.419,3259,4.530,0.2700,6,+0.977,-0.396,0.3267,0.2537,1.6514,0.1977,0.2079,0.1892,2.0002,1.5319,46.21,3.1010,43.11,40.43,51.93,68.92,False,True,True,True,True,True,False,gu_below_target(68.9<70),rework_candidate,5.7,False,flat_trained_bc_ppo_terminal_policy_inference,7125,635.8,True,2
R2,roof,0,-0.080,-0.440,1.450,0.0000,0.0000,1.0000,8.437,3259,3.602,0.2700,2,+0.976,-0.725,0.3952,0.3269,1.6573,1.1139,0.2505,0.2439,2.1863,1.9955,40.24,1.3056,38.93,37.52,54.69,62.31,False,False,True,True,True,True,False,gu_below_target(62.3<70);ra_above_target(0.244>0.20);clearcoat_budget_exhausted,spot_repaint_review,0.0,False,flat_trained_bc_ppo_terminal_policy_inference,7202,266.6,True,0
R2,roof,1,-0.080,-0.220,1.450,0.0000,0.0000,1.0000,8.423,3259,4.308,0.2700,2,+0.974,-0.475,0.1904,0.1337,0.7542,0.4427,0.1350,0.1056,1.2128,0.9024,46.72,1.0863,45.63,42.56,52.08,70.27,True,True,True,True,True,True,True,,pass,0.0,False,flat_trained_bc_ppo_terminal_policy_inference,7203,222.9,True,0
