region_id,region_name,cell_id,position_x_m,position_y_m,position_z_m,normal_x,normal_y,normal_z,force_n,rpm,feed_speed_mm_s,step_over_ratio,pass_count,policy_action_force,policy_action_feed,roughness_before,roughness_after,scratch_before_um,scratch_after_um,ra_before_um,ra_after_um,rz_before_um,rz_after_um,clearcoat_initial_um,clearcoat_removed_um,clearcoat_remaining_um,clearcoat_remaining_min_um,gu_proxy_before,gu_proxy_after,gu_target_pass,ra_target_pass,rz_target_pass,scratch_improved,clearcoat_safe,overall_pass,failure_reason,tilt_deg,is_side,evaluation_mode,surface_seed,process_time_s,episode_completed,repolish_episodes
R1,bonnet,14,2.100,0.480,1.000,-0.1000,0.0000,0.9950,7.444,5436,5.103,0.1840,2,+0.990,-0.283,0.2555,0.1960,1.3351,0.5619,0.1548,0.1534,1.7804,1.3017,42.28,1.9548,40.33,36.99,58.26,67.64,False,True,True,True,True,False,gu_below_target(67.6<70);clearcoat_budget_exhausted,5.7,False,flat_trained_bc_ppo_terminal_policy_inference,7115,282.2,True,0
R1,bonnet,15,2.300,-0.480,1.020,-0.1000,0.0000,0.9950,7.444,5436,4.920,0.1840,2,+0.991,-0.345,0.1981,0.1710,1.0995,0.4428,0.1315,0.1317,1.4792,0.9482,41.89,2.0252,39.86,36.43,66.81,68.52,False,True,True,True,True,False,gu_below_target(68.5<70);clearcoat_budget_exhausted,5.7,False,flat_trained_bc_ppo_terminal_policy_inference,7116,292.7,True,0
R1,bonnet,16,2.300,-0.240,1.020,-0.1000,0.0000,0.9950,7.445,5436,5.107,0.1840,2,+0.992,-0.282,0.2562,0.1966,1.1744,0.3915,0.1791,0.1529,1.5984,1.1681,46.22,1.9525,44.27,39.86,51.21,70.16,True,True,True,True,True,True,,5.7,False,flat_trained_bc_ppo_terminal_policy_inference,7117,282.0,True,0
R1,bonnet,17,2.300,0.000,1.020,-0.1000,0.0000,0.9950,6.856,5436,3.788,0.1840,4,+0.643,-0.726,0.2574,0.2785,1.1759,0.0659,0.1784,0.2098,1.6855,1.5165,44.70,4.8481,39.85,36.79,50.15,63.83,False,False,True,True,True,False,gu_below_target(63.8<70);ra_above_target(0.210>0.20),5.7,False,flat_trained_bc_ppo_terminal_policy_inference,7118,760.2,True,1
R1,bonnet,18,2.300,0.240,1.020,-0.1000,0.0000,0.9950,7.445,5436,4.980,0.1840,2,+0.991,-0.325,0.1656,0.1717,1.2678,0.3716,0.1111,0.1395,1.3765,0.9457,44.16,2.0017,42.16,40.35,51.37,70.70,True,True,True,True,True,True,,5.7,False,flat_trained_bc_ppo_terminal_policy_inference,7119,289.2,True,0
R1,bonnet,19,2.300,0.480,1.020,-0.1000,0.0000,0.9950,6.871,5436,3.843,0.1840,4,+0.652,-0.707,0.2569,0.2838,1.4908,0.0703,0.1556,0.2156,1.7712,1.4393,45.19,4.7888,40.40,38.48,61.28,65.72,False,False,True,True,True,False,gu_below_target(65.7<70);ra_above_target(0.216>0.20),5.7,False,flat_trained_bc_ppo_terminal_policy_inference,7120,749.3,True,1
R1,bonnet,20,2.500,-0.480,1.040,-0.1000,0.0000,0.9950,7.446,5436,4.978,0.1840,2,+0.991,-0.326,0.2301,0.1663,1.0518,0.2583,0.1590,0.1305,1.4444,0.9198,40.93,2.0038,38.93,35.48,46.69,65.18,False,True,True,True,True,False,gu_below_target(65.2<70);clearcoat_budget_exhausted,5.7,False,flat_trained_bc_ppo_terminal_policy_inference,7121,289.3,True,0
R1,bonnet,21,2.500,-0.240,1.040,-0.1000,0.0000,0.9950,7.443,5436,5.224,0.1840,2,+0.992,-0.243,0.3060,0.2135,1.8412,1.0935,0.1782,0.1541,2.2017,1.7813,40.59,1.9081,38.68,36.28,53.14,63.84,False,True,True,True,True,False,gu_below_target(63.8<70);clearcoat_budget_exhausted,5.7,False,flat_trained_bc_ppo_terminal_policy_inference,7122,275.7,True,0
R1,bonnet,22,2.500,0.000,1.040,-0.1000,0.0000,0.9950,7.444,5436,5.118,0.1840,2,+0.991,-0.278,0.2001,0.1735,1.3841,0.6116,0.1115,0.1339,1.7659,1.3722,43.14,1.9486,41.19,38.17,53.85,69.13,False,True,True,True,True,False,gu_below_target(69.1<70);clearcoat_budget_exhausted,5.7,False,flat_trained_bc_ppo_terminal_policy_inference,7123,281.4,True,0
R1,bonnet,23,2.500,0.240,1.040,-0.1000,0.0000,0.9950,7.443,5436,5.081,0.1840,2,+0.992,-0.291,0.2347,0.1952,0.9398,0.2891,0.1660,0.1572,1.5099,1.1055,47.74,1.9623,45.78,43.14,49.79,70.55,True,True,True,True,True,True,,5.7,False,flat_trained_bc_ppo_terminal_policy_inference,7124,283.5,True,0
