cell_id,region,cx,cy,cz,nx,ny,nz,ux,uy,uz,vx,vy,vz
233,side_right,0.59685,0.19524,0.61835,0.73461,0.05026,0.67662,-0.03697,0.99874,-0.03405,-0.67748,0.0,0.73554
234,side_right,0.46821,0.17647,0.85707,0.72898,-0.1138,0.675,0.0835,0.9935,0.07732,-0.67942,0.0,0.73375
235,side_right,0.63897,0.3017,0.18675,0.99906,0.04135,0.01299,-0.04134,0.99914,-0.00054,-0.013,0.0,0.99992
236,side_right,0.63795,0.30127,0.29837,0.99949,0.03178,0.00096,-0.03178,0.99949,-3e-05,-0.00096,0.0,1.0
237,side_right,0.63785,0.302,0.41989,0.99946,0.02697,0.01881,-0.02696,0.99964,-0.00051,-0.01882,-0.0,0.99982
238,side_right,0.62731,0.3025,0.54215,0.96889,0.05167,0.24205,-0.05013,0.99866,-0.01252,-0.24238,0.0,0.97018
239,side_right,0.58544,0.29954,0.62522,0.76097,0.03402,0.6479,-0.0259,0.99942,-0.02206,-0.64827,-0.0,0.76141
240,side_right,0.45789,0.30502,0.87645,0.75276,0.00207,0.65829,-0.00156,1.0,-0.00136,-0.65829,0.0,0.75277
241,side_right,0.63657,0.42098,0.1874,0.99999,-0.00328,0.00037,0.00328,0.99999,0.0,-0.00037,0.0,1.0
242,side_right,0.6368,0.42041,0.29814,0.99998,-0.0025,-0.00623,0.0025,1.0,-2e-05,0.00623,0.0,0.99998
243,side_right,0.63715,0.42083,0.41857,0.99984,-0.00166,0.01761,0.00166,1.0,3e-05,-0.01761,0.0,0.99984
244,side_right,0.62145,0.41738,0.54122,0.94575,0.06355,0.31863,-0.06022,0.99798,-0.02029,-0.31927,0.0,0.94766
245,side_right,0.58006,0.42137,0.62494,0.79769,0.03067,0.60228,-0.02448,0.99953,-0.01848,-0.60256,-0.0,0.79807
246,side_right,0.4454,0.42267,0.88672,0.7468,0.03851,0.66394,-0.02878,0.99926,-0.02558,-0.66443,0.0,0.74735
247,side_right,0.64248,0.54112,0.18805,0.99617,-0.08707,-0.0078,0.08707,0.9962,-0.00068,0.00783,0.0,0.99997
248,side_right,0.64123,0.54105,0.29905,0.99694,-0.07626,0.01694,0.07625,0.99709,0.0013,-0.01699,0.0,0.99986
249,side_right,0.63893,0.54027,0.41951,0.99789,-0.03717,0.0532,0.03711,0.99931,0.00198,-0.05324,0.0,0.99858
250,side_right,0.61563,0.54587,0.53834,0.91482,-0.02023,0.40336,0.01851,0.9998,0.00816,-0.40344,-0.0,0.91501
251,side_right,0.57518,0.53969,0.62491,0.81184,0.03831,0.58262,-0.03113,0.99927,-0.02234,-0.58305,0.0,0.81244
252,side_right,0.44463,0.53404,0.88095,0.73702,0.05488,0.67364,-0.04051,0.99849,-0.03703,-0.67465,0.0,0.73813
253,side_right,0.65145,0.63729,0.18933,0.99796,-0.05591,-0.03075,0.05589,0.99844,-0.00172,0.0308,-0.0,0.99953
254,side_right,0.65251,0.64783,0.30419,0.99545,-0.0937,0.01741,0.09369,0.9956,0.00164,-0.01749,-0.0,0.99985
255,side_right,0.64872,0.65902,0.41934,0.99022,-0.11879,0.07322,0.11846,0.99292,0.00876,-0.07375,0.0,0.99728
