cell_id,region,center_x_m,center_y_m,center_z_m,tilt_deg,is_side,quad_c3,quad_c5,fit_rms_mm,outcome,passes,gu_before,gu_final,ra_final_um,rz_final_um,scratch_before_um,scratch_final_um,clearcoat_initial_um,clearcoat_min_um,temperature_peak_c,gu_target_pass,ra_target_pass,rz_target_pass,scratch_improved,clearcoat_safe,warranty_removal_ok,overall_pass,disposition,checkpoint
25,front,0.058,1.482,0.305,94.1,True,-0.1919,+4.5003,8.65,fail_force_overload,0,67.07,69.77,0.1244,0.834,0.426,0.292,41.67,38.46,35.64,False,True,True,True,True,True,False,spot_repaint_review,model_ppo_curved.pt
26,front,0.057,1.501,0.428,72.2,True,+0.0738,-5.6203,21.91,fail_force_overload,0,74.79,74.53,0.1723,0.965,0.323,0.249,49.51,46.58,34.79,True,True,True,True,True,True,False,spot_repaint_review,model_ppo_curved.pt
27,front,0.065,1.482,0.536,91.1,True,-0.4963,+1.6956,4.74,success,1,70.06,73.49,0.1177,0.791,0.297,0.036,49.01,44.78,35.72,True,True,True,True,True,True,True,pass,model_ppo_curved.pt
28,front,0.059,1.477,0.636,99.8,True,+2.8925,-1.7922,17.59,fail_force_overload,0,69.00,70.42,0.1020,0.897,0.517,0.289,41.02,35.63,35.77,True,True,True,True,True,True,False,spot_repaint_review,model_ppo_curved.pt
29,front,0.189,1.494,0.213,73.0,True,+0.3156,-0.2630,7.21,success,1,60.14,71.34,0.1318,0.832,0.351,0.055,45.32,40.14,35.78,True,True,True,True,True,True,True,pass,model_ppo_curved.pt
30,front,0.179,1.486,0.305,93.4,True,+1.6885,+3.1822,10.46,fail_force_overload,0,71.66,71.45,0.1706,0.944,0.429,0.348,48.62,46.17,35.25,True,True,True,True,True,True,False,spot_repaint_review,model_ppo_curved.pt
31,front,0.178,1.490,0.425,73.9,True,+0.0284,-7.6305,33.75,fail_force_overload,0,60.42,67.47,0.1658,0.939,0.269,0.182,43.41,40.07,34.63,False,True,True,True,True,True,False,spot_repaint_review,model_ppo_curved.pt
32,front,0.179,1.474,0.541,88.6,True,-0.2416,+1.6474,5.13,success,1,61.47,73.15,0.1220,0.727,0.218,0.030,49.05,42.99,35.79,True,True,True,True,True,True,True,pass,model_ppo_curved.pt
33,front,0.178,1.473,0.641,86.0,True,+0.2983,-4.0529,15.29,fail_force_overload,0,70.19,72.16,0.0995,0.608,0.342,0.142,41.30,37.83,35.94,True,True,True,True,True,True,False,spot_repaint_review,model_ppo_curved.pt
34,front,0.277,1.496,0.216,81.0,True,-0.8927,+2.9049,4.23,fail_force_overload,0,66.52,66.39,0.1581,0.925,0.165,0.160,47.53,44.36,35.32,False,True,True,True,True,True,False,spot_repaint_review,model_ppo_curved.pt
35,front,0.300,1.500,0.308,95.5,True,-1.9486,+0.2687,4.00,fail_clearcoat_budget,1,58.72,69.28,0.1280,0.971,0.491,0.096,41.74,36.72,35.78,False,True,True,True,True,True,False,rework_candidate,model_ppo_curved.pt
36,front,0.300,1.501,0.422,77.6,True,-0.4886,-3.7334,6.71,success,1,62.61,72.03,0.1129,0.728,0.499,0.053,45.09,40.44,36.01,True,True,True,True,True,True,True,pass,model_ppo_curved.pt
37,front,0.286,1.457,0.551,85.4,True,-0.8941,+1.1121,5.63,success,1,67.71,70.39,0.1204,0.814,0.278,0.044,42.22,37.92,35.83,True,True,True,True,True,True,True,pass,model_ppo_curved.pt
38,front,0.299,1.443,0.637,80.1,True,-0.8181,-5.2054,9.38,fail_force_overload,0,59.61,70.79,0.1099,1.007,0.738,0.419,45.71,42.02,35.92,True,True,True,True,True,True,False,spot_repaint_review,model_ppo_curved.pt
39,front,0.444,1.458,0.212,86.8,True,-1.8318,+0.7712,3.11,success,1,71.65,73.96,0.1147,0.687,0.491,0.043,48.95,46.06,35.82,True,True,True,True,True,True,True,pass,model_ppo_curved.pt
40,front,0.421,1.471,0.308,96.2,True,-0.8234,+0.1320,2.69,success,1,68.96,71.13,0.1258,0.819,0.495,0.129,44.09,37.54,35.80,True,True,True,True,True,True,True,pass,model_ppo_curved.pt
41,front,0.415,1.471,0.410,73.9,True,-0.1740,-3.8033,4.81,success,1,63.38,72.35,0.1196,0.815,0.461,0.081,46.23,41.91,36.00,True,True,True,True,True,True,True,pass,model_ppo_curved.pt
42,front,0.407,1.404,0.581,72.6,True,+0.1025,-0.5957,4.68,success,1,62.69,70.45,0.1131,0.711,0.357,0.053,40.99,38.58,35.81,True,True,True,True,True,True,True,pass,model_ppo_curved.pt
43,front,0.375,1.412,0.621,76.0,True,-1.4517,-3.4855,4.66,success,1,64.99,71.79,0.1216,0.817,0.310,0.046,44.66,39.57,35.87,True,True,True,True,True,True,True,pass,model_ppo_curved.pt
44,front,0.502,1.415,0.212,96.6,True,-0.9504,+0.5692,2.67,success,1,68.17,73.73,0.1171,0.762,0.327,0.041,49.97,46.28,35.84,True,True,True,True,True,True,True,pass,model_ppo_curved.pt
45,front,0.514,1.421,0.300,101.9,True,-1.4138,+0.6226,2.69,success,1,71.67,72.81,0.1378,0.869,0.317,0.051,46.59,41.37,35.82,True,True,True,True,True,True,True,pass,model_ppo_curved.pt
46,front,0.513,1.435,0.422,69.9,True,-4.1365,-4.5596,7.19,fail_force_overload,0,61.34,70.84,0.1312,0.910,0.230,0.089,44.98,40.60,35.06,True,True,True,True,True,True,False,spot_repaint_review,model_ppo_curved.pt
47,front,0.523,1.370,0.536,64.5,True,-4.1833,-2.0738,5.91,success,1,71.94,70.59,0.1087,0.716,0.132,0.028,41.85,37.87,35.53,True,True,True,True,True,True,True,pass,model_ppo_curved.pt
48,rear,-0.506,-1.333,0.170,93.9,True,-2.8768,-9.0903,10.43,fail_force_overload,0,65.19,70.19,0.1817,1.106,0.638,0.464,48.76,46.49,34.45,True,True,True,True,True,True,False,spot_repaint_review,model_ppo_curved.pt
49,rear,-0.421,-1.374,0.158,96.5,True,-0.5865,-14.4501,8.45,fail_force_overload,0,58.56,67.93,0.1628,0.917,0.372,0.198,41.74,38.53,35.19,False,True,True,True,True,True,False,spot_repaint_review,model_ppo_curved.pt
50,rear,-0.421,-1.407,0.315,101.4,True,-1.1690,-3.0320,6.74,success,1,62.39,72.73,0.1236,0.858,0.491,0.084,48.89,43.46,35.91,True,True,True,True,True,True,True,pass,model_ppo_curved.pt
51,rear,-0.423,-1.417,0.375,83.6,True,-0.7886,-7.0803,6.96,fail_force_overload,0,71.96,72.19,0.1661,1.094,0.299,0.279,42.66,38.12,34.80,True,True,True,True,True,True,False,spot_repaint_review,model_ppo_curved.pt
52,rear,-0.308,-1.404,0.188,90.2,True,-0.2507,+7.8101,11.83,fail_force_overload,0,73.22,73.73,0.1154,0.923,0.408,0.325,40.36,38.36,34.52,True,True,True,True,True,True,False,spot_repaint_review,model_ppo_curved.pt
