cell_id,region,center_x_m,center_y_m,center_z_m,tilt_deg,is_side,quad_c3,quad_c5,fit_rms_mm,outcome,passes,gu_before,gu_final,ra_final_um,rz_final_um,scratch_before_um,scratch_final_um,clearcoat_initial_um,clearcoat_min_um,temperature_peak_c,gu_target_pass,ra_target_pass,rz_target_pass,scratch_improved,clearcoat_safe,warranty_removal_ok,overall_pass,disposition,checkpoint
46,front,0.513,1.435,0.422,69.9,True,-4.1365,-4.5596,7.19,fail_force_overload,0,61.34,70.77,0.1010,0.801,0.230,0.078,44.98,40.12,32.71,True,True,True,True,True,True,False,spot_repaint_review,model_ppo_curved.pt|pad0.035_f0.7
48,rear,-0.506,-1.333,0.170,93.9,True,-2.8768,-9.0903,10.43,fail_force_overload,0,65.19,70.37,0.1937,1.130,0.638,0.455,48.76,46.41,32.48,True,True,True,True,True,True,False,spot_repaint_review,model_ppo_curved.pt|pad0.035_f0.7
49,rear,-0.421,-1.374,0.158,96.5,True,-0.5865,-14.4501,8.45,fail_force_overload,0,58.56,67.89,0.1721,0.953,0.372,0.208,41.74,38.46,32.32,False,True,True,True,True,True,False,spot_repaint_review,model_ppo_curved.pt|pad0.035_f0.7
51,rear,-0.423,-1.417,0.375,83.6,True,-0.7886,-7.0803,6.96,fail_force_overload,0,71.96,72.14,0.1730,1.108,0.299,0.267,42.66,38.13,32.62,True,True,True,True,True,True,False,spot_repaint_review,model_ppo_curved.pt|pad0.035_f0.7
52,rear,-0.308,-1.404,0.188,90.2,True,-0.2507,+7.8101,11.83,fail_force_overload,0,73.22,73.63,0.1155,0.935,0.408,0.338,40.36,38.36,31.89,True,True,True,True,True,True,False,spot_repaint_review,model_ppo_curved.pt|pad0.035_f0.7
55,rear,-0.297,-1.425,0.492,55.1,True,+0.5067,-4.9968,12.92,fail_force_overload,0,65.17,72.57,0.2207,1.186,0.373,0.117,48.66,42.92,32.66,True,False,True,True,True,True,False,spot_repaint_review,model_ppo_curved.pt|pad0.035_f0.7
56,rear,-0.179,-1.428,0.183,96.1,True,-0.2693,+6.2002,10.32,fail_force_overload,0,56.80,58.74,0.1336,1.200,0.624,0.624,43.20,39.84,32.04,False,True,True,False,True,True,False,spot_repaint_review,model_ppo_curved.pt|pad0.035_f0.7
57,rear,-0.180,-1.473,0.315,103.2,True,+0.2250,-8.4669,13.45,fail_force_overload,0,66.17,70.47,0.1529,1.050,0.470,0.267,43.39,40.71,32.51,True,True,True,True,True,True,False,spot_repaint_review,model_ppo_curved.pt|pad0.035_f0.7
58,rear,-0.177,-1.426,0.417,88.1,True,+1.1161,+14.2424,26.69,fail_force_overload,0,60.26,60.27,0.1332,1.022,0.385,0.385,43.39,39.75,24.21,False,True,True,True,True,True,False,spot_repaint_review,model_ppo_curved.pt|pad0.035_f0.7
59,rear,-0.179,-1.456,0.497,62.1,True,+0.6340,-18.2456,17.81,fail_force_overload,0,61.16,61.15,0.1262,0.861,0.207,0.207,46.56,44.40,23.55,False,True,True,False,True,True,False,spot_repaint_review,model_ppo_curved.pt|pad0.035_f0.7
60,rear,-0.063,-1.440,0.181,98.1,True,-0.4518,+6.6984,10.71,fail_force_overload,0,65.98,67.03,0.1268,0.920,0.495,0.495,46.58,46.06,32.06,False,True,True,False,True,True,False,spot_repaint_review,model_ppo_curved.pt|pad0.035_f0.7
61,rear,-0.061,-1.487,0.313,103.7,True,+0.7300,-6.6877,12.61,fail_force_overload,0,73.98,73.10,0.1560,0.820,0.168,0.146,44.96,41.78,32.57,True,True,True,True,True,True,False,spot_repaint_review,model_ppo_curved.pt|pad0.035_f0.7
62,rear,-0.062,-1.447,0.417,86.7,True,+6.4268,+12.8594,30.08,fail_force_overload,0,71.58,71.60,0.1165,0.827,0.104,0.104,48.92,45.32,23.36,True,True,True,False,True,True,False,spot_repaint_review,model_ppo_curved.pt|pad0.035_f0.7
63,rear,-0.063,-1.475,0.497,61.2,True,+1.9813,-8.8106,21.81,fail_force_overload,0,73.32,73.96,0.1691,1.062,0.273,0.086,45.51,40.23,32.54,True,True,True,True,True,True,False,spot_repaint_review,model_ppo_curved.pt|pad0.035_f0.7
64,rear,0.059,-1.440,0.180,98.2,True,-0.1756,+4.5489,9.89,fail_force_overload,0,72.52,72.31,0.1216,0.982,0.514,0.514,45.97,42.01,31.86,True,True,True,False,True,True,False,spot_repaint_review,model_ppo_curved.pt|pad0.035_f0.7
65,rear,0.057,-1.487,0.313,104.0,True,+0.5766,-6.3193,12.13,fail_force_overload,0,70.09,69.13,0.1604,1.068,0.609,0.464,40.69,35.70,32.60,False,True,True,True,True,True,False,spot_repaint_review,model_ppo_curved.pt|pad0.035_f0.7
