cell_id,region,center_x_m,center_y_m,center_z_m,tilt_deg,is_side,quad_c3,quad_c5,fit_rms_mm,outcome,passes,gu_before,gu_final,ra_final_um,rz_final_um,scratch_before_um,scratch_final_um,clearcoat_initial_um,clearcoat_min_um,temperature_peak_c,gu_target_pass,ra_target_pass,rz_target_pass,scratch_improved,clearcoat_safe,warranty_removal_ok,overall_pass,disposition,checkpoint
361,top,-0.186,1.413,0.678,1.9,False,+1.6689,-4.8947,17.64,fail_force_overload,0,70.32,72.68,0.1732,1.038,0.391,0.188,44.36,40.89,32.66,True,True,True,True,True,True,False,spot_repaint_review,model_ppo_curved.pt|pad0.035_f0.7
362,top,-0.183,1.470,0.579,15.9,False,-0.2277,+16.7217,9.37,fail_force_overload,0,71.43,71.43,0.1074,0.947,0.481,0.481,44.90,42.97,26.76,True,True,True,False,True,True,False,spot_repaint_review,model_ppo_curved.pt|pad0.035_f0.7
363,top,-0.070,-1.462,0.466,33.5,False,+4.6676,-0.2785,36.79,success,1,73.38,73.24,0.1529,0.949,0.228,0.019,48.36,44.01,32.85,True,True,True,True,True,True,True,pass,model_ppo_curved.pt|pad0.035_f0.7
379,top,-0.064,1.420,0.681,2.3,False,+1.6952,-4.7990,17.72,fail_clearcoat_budget,1,67.99,68.59,0.1820,1.075,0.344,0.057,41.69,36.29,32.66,False,True,True,True,True,True,False,rework_candidate,model_ppo_curved.pt|pad0.035_f0.7
380,top,-0.058,1.471,0.618,14.6,False,-1.7632,-39.7967,41.46,fail_force_overload,0,65.74,70.69,0.1255,0.770,0.401,0.294,43.68,42.73,32.23,True,True,True,True,True,True,False,spot_repaint_review,model_ppo_curved.pt|pad0.035_f0.7
381,top,0.069,-1.461,0.466,33.5,False,+4.7969,-0.3828,35.61,success,1,54.60,72.13,0.1571,0.843,0.296,0.046,48.82,43.50,32.81,True,True,True,True,True,True,True,pass,model_ppo_curved.pt|pad0.035_f0.7
397,top,0.060,1.420,0.681,2.5,False,+1.3604,-16.6424,13.45,fail_force_overload,0,73.05,73.05,0.1334,0.992,0.188,0.188,49.13,46.43,24.38,True,True,True,False,True,True,False,spot_repaint_review,model_ppo_curved.pt|pad0.035_f0.7
398,top,0.175,-1.462,0.417,36.3,False,-1.0497,+7.6188,47.62,fail_force_overload,0,68.41,68.92,0.0888,0.616,0.236,0.230,47.51,44.65,32.89,False,True,True,True,True,True,False,spot_repaint_review,model_ppo_curved.pt|pad0.035_f0.7
414,top,0.184,1.412,0.678,2.2,False,+1.4632,-4.8725,17.21,fail_force_overload,0,60.33,69.99,0.1136,0.702,0.178,0.080,42.53,37.24,32.69,False,True,True,True,True,True,False,spot_repaint_review,model_ppo_curved.pt|pad0.035_f0.7
415,top,0.185,1.469,0.606,18.4,False,-2.0290,-26.7249,20.01,fail_force_overload,0,72.06,73.42,0.1266,0.886,0.444,0.395,48.04,45.06,32.97,True,True,True,True,True,True,False,spot_repaint_review,model_ppo_curved.pt|pad0.035_f0.7
432,top,0.303,1.379,0.683,12.7,False,-2.9565,-4.3536,9.33,fail_force_overload,0,53.72,63.53,0.1519,0.991,0.458,0.458,43.75,40.15,32.69,False,True,True,False,True,True,False,spot_repaint_review,model_ppo_curved.pt|pad0.035_f0.7
433,top,0.292,1.464,0.519,25.9,False,-0.7806,+9.7151,10.47,fail_force_overload,0,65.90,65.91,0.1020,0.748,0.086,0.086,45.14,41.90,23.81,False,True,True,False,True,True,False,spot_repaint_review,model_ppo_curved.pt|pad0.035_f0.7
434,top,0.404,-1.378,0.439,30.8,False,+3.3537,-0.1674,9.54,fail_clearcoat_budget,1,63.99,64.90,0.1727,1.163,0.477,0.088,40.24,35.09,32.76,False,True,True,True,True,True,False,spot_repaint_review,model_ppo_curved.pt|pad0.035_f0.7
453,top,0.427,1.377,0.576,28.8,False,+3.6244,-3.4326,16.14,fail_quality_regression,2,66.03,59.85,0.2345,1.580,0.206,0.031,42.12,35.07,33.01,False,False,True,True,True,True,False,spot_repaint_review,model_ppo_curved.pt|pad0.035_f0.7
473,top,0.495,1.366,0.548,30.6,False,-4.1109,-3.5233,21.13,success,1,65.61,72.35,0.1581,0.968,0.198,0.030,45.83,42.92,32.80,True,True,True,True,True,True,True,pass,model_ppo_curved.pt|pad0.035_f0.7
479,top,0.614,-0.180,0.619,30.2,False,-6.5861,+0.1414,5.93,fail_clearcoat_budget,1,65.41,67.33,0.1513,0.920,0.169,0.031,41.18,36.50,32.81,False,True,True,True,True,True,False,rework_candidate,model_ppo_curved.pt|pad0.035_f0.7
