checkpoint,env,sequence,outcome,passes,gu_before,gu_final,ra_final_um,rz_final_um,scratch_before_um,scratch_final_um,clearcoat_min_um,temperature_peak_c,thermal_damage_peak,quality_ok,safety_ok
model_700.pt,3,0,fail_force_overload,0,49.7,60.38,0.208,1.987,1.634,1.287,44.35,35.91,0.008262,False,False
model_700.pt,0,0,fail_force_overload,1,48.02,60.4,0.2135,1.829,1.829,0.822,36.41,41.23,0.147932,False,False
model_700.pt,2,0,fail_force_overload,1,51.5,66.39,0.2085,1.461,1.457,0.391,38.41,42.7,0.174985,False,False
model_700.pt,3,1,fail_force_overload,1,49.04,66.81,0.2251,1.575,1.704,0.529,41.41,43.3,0.172884,False,False
model_700.pt,2,1,fail_force_overload,0,61.36,67.62,0.1237,1.354,1.412,1.095,40.32,35.87,0.007766,False,False
model_700.pt,1,0,fail_timeout,2,55.02,40.3,0.3675,2.217,1.759,0.136,34.1,43.88,0.482097,False,False
model_700.pt,1,1,fail_force_overload,0,50.15,63.79,0.1674,1.877,1.678,1.346,45.14,35.87,0.007785,False,False
model_700.pt,0,1,fail_force_overload,1,53.57,68.74,0.2174,1.619,1.814,0.467,46.19,43.2,0.268971,False,False
